,System Physical Address,,Local Chiplet Interpretation,,,,,Quasar NOC & SMN,,Is this used in Package?,,PCIE TLB setting for EP (Q1.S7),,Comment
,Start Address,Size,Endpoint ID,Chiplet,Tile ID,Space,Chiplet Local Address,NOC Mask ID,SMN Mask ID,Q1.S7,Q1.A1,PCIE TLB,Entry ID,Description
Local Alias,0x0_0000_0000_0000,,,,,Local Alias,,,,,,,,
,0x0_0000_C000_0000,1GB,local,local,local,Local Alias,0x0_0000_0000_0000,13,,Yes,Yes,,,"Local loopback, local alias"
Athena Conflg Space,0x0_0010_0000_0000,4GB,16,Athena[0],0,Config,0x0_0000_0000_0000,0,0,,Yes,,,Athena MMR Space
,0x0_0011_0000_0000,4GB,17,Athena[1],0,Config,0x0_0000_0000_0000,0,0,,,,,
Keraunos Config Space,0x0_0012_0000_0000,64MB,32,Keraunos[0],0,Config,0x0_0000_0000_0000,1,1,Yes,Yes,TLBApp0 (BAR0),68-71,SEP / SMC (Keraunos remap table used internally)
,0x0_0012_0400_0000,64MB,33,Keraunos[0],0,Config,0x0_0000_2000_0000,1,1,Yes,Yes,TLBApp0 (BAR0),72-75,HSIO tile 0 (Keraunos remap table used internally)
,0x0_0012_0800_0000,64MB,34,Keraunos[0],1,Config,0x0_0000_2400_0000,1,1,Yes,Yes,TLBApp0 (BAR0),76-79,HSIO tile 1 (Keraunos remap table used internally)
,0x0_0012_0C00_0000,64MB,35,Keraunos[0],2,Config,0x0_0000_2800_0000,1,1,Yes,Yes,TLBApp0 (BAR0),80-83,HSIO tile 2 (Keraunos remap table used internally)
,0x0_0012_1000_0000,64MB,36,Keraunos[0],3,Config,0x0_0000_2C00_0000,1,1,Yes,Yes,TLBApp0 (BAR0),84-87,HSIO tile 3 (Keraunos remap table used internally)
,0x0_0012_1400_0000,64MB,37,Keraunos[0],4,Config,0x0_0000_3000_0000,1,1,Yes,Yes,TLBApp0 (BAR0),88-91,HSIO tile 4 (Keraunos remap table used internally)
